Timepoint,0,1,2,3,4
,6.1335,3.3363,2.1414,-7.733,-5.6788
,6.0822,3.2352,1.855,-7.7499,-5.6962
,6.0309,3.1334,1.563,-7.7631,-5.7135
,5.9797,3.0306,1.2664,-7.7728,-5.7304
,5.9287,2.9263,0.96603,-7.779,-5.7467
,5.878,2.8204,0.66279,-7.7819,-5.7623
,5.8276,2.7123,0.35779,-7.7814,-5.7768
,5.7778,2.6019,0.05208,-7.7775,-5.7901
,5.7284,2.4886,-0.25327,-7.7701,-5.8019
,5.6796,2.3723,-0.55721,-7.7594,-5.8119
,5.6314,2.2524,-0.85868,-7.7452,-5.8201
,5.584,2.1287,-1.1566,-7.7276,-5.826
,5.5373,2.0009,-1.45,-7.7065,-5.8295
,5.4915,1.8687,-1.7379,-7.682,-5.8305
,5.4464,1.7322,-2.0197,-7.6543,-5.8288
,5.4021,1.5914,-2.2948,-7.6235,-5.8246
,5.3586,1.4464,-2.5624,-7.5897,-5.8176
,5.3157,1.2972,-2.8221,-7.5532,-5.808
,5.2735,1.1438,-3.073,-7.514,-5.7957
,5.232,0.98625,-3.3146,-7.4723,-5.7805
,5.1911,0.82462,-3.5463,-7.4282,-5.7626
,5.1507,0.65901,-3.7675,-7.382,-5.7419
,5.1109,0.48984,-3.9781,-7.334,-5.7186
,5.0715,0.31759,-4.1783,-7.2846,-5.6929
,5.0324,0.14272,-4.368,-7.2342,-5.6649
,4.9935,-0.034282,-4.5474,-7.1832,-5.635
,4.9547,-0.21295,-4.7164,-7.132,-5.6033
,4.916,-0.3928,-4.8751,-7.081,-5.57
,4.8772,-0.57337,-5.0236,-7.0305,-5.5353
,4.8383,-0.75417,-5.1619,-6.9811,-5.4995
,4.7992,-0.93471,-5.2904,-6.9329,-5.4627
,4.7598,-1.1145,-5.4095,-6.8865,-5.4252
,4.7202,-1.2929,-5.5197,-6.8422,-5.3874
,4.6801,-1.4696,-5.6216,-6.8004,-5.3493
,4.6397,-1.6439,-5.7156,-6.7613,-5.3114
,4.5988,-1.8154,-5.8022,-6.7255,-5.2739
,4.5574,-1.9835,-5.882,-6.6933,-5.237
,4.5154,-2.1477,-5.9553,-6.665,-5.2009
,4.4729,-2.3077,-6.0228,-6.6409,-5.166
,4.4299,-2.4633,-6.0849,-6.621,-5.1322
,4.3865,-2.6143,-6.1422,-6.6055,-5.0997
,4.3427,-2.7607,-6.1953,-6.5942,-5.0686
,4.2987,-2.9023,-6.2446,-6.5873,-5.039
,4.2545,-3.0389,-6.2907,-6.5847,-5.0109
